Thing ID,count
   74322,11371
   40703,6261
   58001,5398
   52734,4946
   53451,3709
   45576,3320
  175150,2841
   40704,2426
   46825,1817
   44579,1471
   55821,1395
   40705,1376
   62719,1298
  148722,1285
  117519,1274
   57281,1169
  140343,1137
  114247,1111
   78719,1079
   59100,1061
   41524,872
   50716,818
   47956,817
   53235,800
   45424,760
   78727,752
   46735,720
   66327,692
   47842,680
   56257,667
